Provider_name,Department,Researcher_Type,Profile_link,Provider_all_top_concepts,This_Concept,Publication_num,Pub_Range,Range_length,Last_Pub_year,Average
Aaron Wolfson,Medicine,Assistant Professor,https://researcherprofiles.org/profile/132710841,https://profiles.sc-ctsi.org/display/132710841/network/researchareas/timeline, Sarcoma,8, 1994-2016,22,2016,2007
Aaron Wolfson,Medicine,Assistant Professor,https://researcherprofiles.org/profile/132710841,https://profiles.sc-ctsi.org/display/132710841/network/researchareas/timeline, Antineoplastic Combined Chemotherapy Protocols,9, 1997-2016,19,2016,2007
Aaron Wolfson,Medicine,Assistant Professor,https://researcherprofiles.org/profile/132710841,https://profiles.sc-ctsi.org/display/132710841/network/researchareas/timeline, Cisplatin,8, 1997-2016,19,2016,2008
Aaron Wolfson,Medicine,Assistant Professor,https://researcherprofiles.org/profile/132710841,https://profiles.sc-ctsi.org/display/132710841/network/researchareas/timeline, Uterine Cervical Neoplasms,12, 1996-2020,24,2020,2008
Aaron Wolfson,Medicine,Assistant Professor,https://researcherprofiles.org/profile/132710841,https://profiles.sc-ctsi.org/display/132710841/network/researchareas/timeline, Endometrial Neoplasms,4, 1992-2019,27,2019,2009
Aaron Wolfson,Medicine,Assistant Professor,https://researcherprofiles.org/profile/132710841,https://profiles.sc-ctsi.org/display/132710841/network/researchareas/timeline, Extremities,7, 1998-2016,18,2016,2009
Aaron Wolfson,Medicine,Assistant Professor,https://researcherprofiles.org/profile/132710841,https://profiles.sc-ctsi.org/display/132710841/network/researchareas/timeline, Vaginal Neoplasms,2, 2003-2016,13,2016,2009
Aaron Wolfson,Medicine,Assistant Professor,https://researcherprofiles.org/profile/132710841,https://profiles.sc-ctsi.org/display/132710841/network/researchareas/timeline, Soft Tissue Neoplasms,4, 2005-2016,11,2016,2011
Aaron Wolfson,Medicine,Assistant Professor,https://researcherprofiles.org/profile/132710841,https://profiles.sc-ctsi.org/display/132710841/network/researchareas/timeline," Ossification, Heterotopic",3, 1997-2022,25,2022,2013
Aaron Wolfson,Medicine,Assistant Professor,https://researcherprofiles.org/profile/132710841,https://profiles.sc-ctsi.org/display/132710841/network/researchareas/timeline, Blood Pressure Determination,2, 2017-2018,1,2018,2017
Aaron Wolfson,Medicine,Assistant Professor,https://researcherprofiles.org/profile/132710841,https://profiles.sc-ctsi.org/display/132710841/network/researchareas/timeline," Monitoring, Physiologic",2, 2017-2018,1,2018,2017
Aaron Wolfson,Medicine,Assistant Professor,https://researcherprofiles.org/profile/132710841,https://profiles.sc-ctsi.org/display/132710841/network/researchareas/timeline," Heart Failure, Diastolic",1, 2018-2018,1,2018,2018
Aaron Wolfson,Medicine,Assistant Professor,https://researcherprofiles.org/profile/132710841,https://profiles.sc-ctsi.org/display/132710841/network/researchareas/timeline, Micro-Electrical-Mechanical Systems,1, 2018-2018,1,2018,2018
Aaron Wolfson,Medicine,Assistant Professor,https://researcherprofiles.org/profile/132710841,https://profiles.sc-ctsi.org/display/132710841/network/researchareas/timeline, Pulmonary Wedge Pressure,1, 2018-2018,1,2018,2018
Aaron Wolfson,Medicine,Assistant Professor,https://researcherprofiles.org/profile/132710841,https://profiles.sc-ctsi.org/display/132710841/network/researchareas/timeline, Hemodynamic Monitoring,2, 2017-2018,1,2018,2018
Aaron Wolfson,Medicine,Assistant Professor,https://researcherprofiles.org/profile/132710841,https://profiles.sc-ctsi.org/display/132710841/network/researchareas/timeline, Remote Sensing Technology,1, 2018-2018,1,2018,2018
Aaron Wolfson,Medicine,Assistant Professor,https://researcherprofiles.org/profile/132710841,https://profiles.sc-ctsi.org/display/132710841/network/researchareas/timeline, Heart Failure,4, 2017-2022,5,2022,2019
Aaron Wolfson,Medicine,Assistant Professor,https://researcherprofiles.org/profile/132710841,https://profiles.sc-ctsi.org/display/132710841/network/researchareas/timeline, Heart-Assist Devices,1, 2021-2021,1,2021,2021
Aaron Wolfson,Medicine,Assistant Professor,https://researcherprofiles.org/profile/132710841,https://profiles.sc-ctsi.org/display/132710841/network/researchareas/timeline, Heart Transplantation,3, 2021-2022,1,2022,2022
Jeffrey Loh-Doyle,Urology,Assistant Professor,https://researcherprofiles.org/profile/191314,https://profiles.sc-ctsi.org/display/191314/network/researchareas/timeline,Cystoscopy,2, 2011-2015,4,2015,2013
Jeffrey Loh-Doyle,Urology,Assistant Professor,https://researcherprofiles.org/profile/191314,https://profiles.sc-ctsi.org/display/191314/network/researchareas/timeline," Carcinoma, Renal Cell",3, 2011-2017,6,2017,2014
Jeffrey Loh-Doyle,Urology,Assistant Professor,https://researcherprofiles.org/profile/191314,https://profiles.sc-ctsi.org/display/191314/network/researchareas/timeline," Vena Cava, Inferior",3, 2011-2017,6,2017,2014
Jeffrey Loh-Doyle,Urology,Assistant Professor,https://researcherprofiles.org/profile/191314,https://profiles.sc-ctsi.org/display/191314/network/researchareas/timeline," Neoplastic Cells, Circulating",2, 2014-2017,3,2017,2016
Jeffrey Loh-Doyle,Urology,Assistant Professor,https://researcherprofiles.org/profile/191314,https://profiles.sc-ctsi.org/display/191314/network/researchareas/timeline, Device Removal,2, 2015-2018,3,2018,2016
Jeffrey Loh-Doyle,Urology,Assistant Professor,https://researcherprofiles.org/profile/191314,https://profiles.sc-ctsi.org/display/191314/network/researchareas/timeline, Urethral Stricture,1, 2017-2017,1,2017,2017
Jeffrey Loh-Doyle,Urology,Assistant Professor,https://researcherprofiles.org/profile/191314,https://profiles.sc-ctsi.org/display/191314/network/researchareas/timeline, Vascular Neoplasms,1, 2017-2017,1,2017,2017
Jeffrey Loh-Doyle,Urology,Assistant Professor,https://researcherprofiles.org/profile/191314,https://profiles.sc-ctsi.org/display/191314/network/researchareas/timeline, Mouth Mucosa,1, 2018-2018,1,2018,2018
Jeffrey Loh-Doyle,Urology,Assistant Professor,https://researcherprofiles.org/profile/191314,https://profiles.sc-ctsi.org/display/191314/network/researchareas/timeline, Transplants,1, 2018-2018,1,2018,2018
Jeffrey Loh-Doyle,Urology,Assistant Professor,https://researcherprofiles.org/profile/191314,https://profiles.sc-ctsi.org/display/191314/network/researchareas/timeline, Prostatic Neoplasms,5, 2017-2020,3,2020,2018
Jeffrey Loh-Doyle,Urology,Assistant Professor,https://researcherprofiles.org/profile/191314,https://profiles.sc-ctsi.org/display/191314/network/researchareas/timeline," Urinary Incontinence, Stress",2, 2017-2019,2,2019,2018
Jeffrey Loh-Doyle,Urology,Assistant Professor,https://researcherprofiles.org/profile/191314,https://profiles.sc-ctsi.org/display/191314/network/researchareas/timeline," Urinary Sphincter, Artificial",6, 2017-2019,2,2019,2018
Jeffrey Loh-Doyle,Urology,Assistant Professor,https://researcherprofiles.org/profile/191314,https://profiles.sc-ctsi.org/display/191314/network/researchareas/timeline, Penile Prosthesis,4, 2018-2021,3,2021,2019
Jeffrey Loh-Doyle,Urology,Assistant Professor,https://researcherprofiles.org/profile/191314,https://profiles.sc-ctsi.org/display/191314/network/researchareas/timeline, Prosthesis Failure,2, 2018-2019,1,2019,2019
Jeffrey Loh-Doyle,Urology,Assistant Professor,https://researcherprofiles.org/profile/191314,https://profiles.sc-ctsi.org/display/191314/network/researchareas/timeline, Reoperation,2, 2018-2019,1,2019,2019
Jeffrey Loh-Doyle,Urology,Assistant Professor,https://researcherprofiles.org/profile/191314,https://profiles.sc-ctsi.org/display/191314/network/researchareas/timeline, Penile Implantation,4, 2018-2021,3,2021,2019
Jeffrey Loh-Doyle,Urology,Assistant Professor,https://researcherprofiles.org/profile/191314,https://profiles.sc-ctsi.org/display/191314/network/researchareas/timeline, Prostatectomy,5, 2017-2021,4,2021,2019
Jeffrey Loh-Doyle,Urology,Assistant Professor,https://researcherprofiles.org/profile/191314,https://profiles.sc-ctsi.org/display/191314/network/researchareas/timeline, Cystectomy,5, 2018-2021,3,2021,2019
Jeffrey Loh-Doyle,Urology,Assistant Professor,https://researcherprofiles.org/profile/191314,https://profiles.sc-ctsi.org/display/191314/network/researchareas/timeline, Urinary Bladder Neoplasms,5, 2018-2021,3,2021,2019
Jeffrey Loh-Doyle,Urology,Assistant Professor,https://researcherprofiles.org/profile/191314,https://profiles.sc-ctsi.org/display/191314/network/researchareas/timeline, Erectile Dysfunction,6, 2018-2021,3,2021,2019
"Brandon Adler, MD",Dermatology,Assistant Professor,https://researcherprofiles.org/profile/52793898,https://profiles.sc-ctsi.org/display/52793898/network/researchareas/timeline,Dermatologic Agents,3, 2013-2020,7,2020,2016
"Brandon Adler, MD",Dermatology,Assistant Professor,https://researcherprofiles.org/profile/52793898,https://profiles.sc-ctsi.org/display/52793898/network/researchareas/timeline, Propionibacterium acnes,2, 2015-2017,2,2017,2016
"Brandon Adler, MD",Dermatology,Assistant Professor,https://researcherprofiles.org/profile/52793898,https://profiles.sc-ctsi.org/display/52793898/network/researchareas/timeline, Skin Neoplasms,5, 2013-2021,8,2021,2017
"Brandon Adler, MD",Dermatology,Assistant Professor,https://researcherprofiles.org/profile/52793898,https://profiles.sc-ctsi.org/display/52793898/network/researchareas/timeline, Skin Diseases,3, 2014-2020,6,2020,2018
"Brandon Adler, MD",Dermatology,Assistant Professor,https://researcherprofiles.org/profile/52793898,https://profiles.sc-ctsi.org/display/52793898/network/researchareas/timeline, Drug Contamination,1, 2019-2019,1,2019,2019
"Brandon Adler, MD",Dermatology,Assistant Professor,https://researcherprofiles.org/profile/52793898,https://profiles.sc-ctsi.org/display/52793898/network/researchareas/timeline, Skin Cream,1, 2019-2019,1,2019,2019
"Brandon Adler, MD",Dermatology,Assistant Professor,https://researcherprofiles.org/profile/52793898,https://profiles.sc-ctsi.org/display/52793898/network/researchareas/timeline, Gout,1, 2020-2020,1,2020,2020
"Brandon Adler, MD",Dermatology,Assistant Professor,https://researcherprofiles.org/profile/52793898,https://profiles.sc-ctsi.org/display/52793898/network/researchareas/timeline, Exanthema,1, 2021-2021,1,2021,2021
"Brandon Adler, MD",Dermatology,Assistant Professor,https://researcherprofiles.org/profile/52793898,https://profiles.sc-ctsi.org/display/52793898/network/researchareas/timeline, Eczema,2, 2020-2021,1,2021,2021
"Brandon Adler, MD",Dermatology,Assistant Professor,https://researcherprofiles.org/profile/52793898,https://profiles.sc-ctsi.org/display/52793898/network/researchareas/timeline," Dermatitis, Allergic Contact",7, 2019-2022,3,2022,2021
"Brandon Adler, MD",Dermatology,Assistant Professor,https://researcherprofiles.org/profile/52793898,https://profiles.sc-ctsi.org/display/52793898/network/researchareas/timeline, Consumer Health Information,1, 2021-2021,1,2021,2021
"Brandon Adler, MD",Dermatology,Assistant Professor,https://researcherprofiles.org/profile/52793898,https://profiles.sc-ctsi.org/display/52793898/network/researchareas/timeline, Allergens,6, 2019-2022,3,2022,2021
"Brandon Adler, MD",Dermatology,Assistant Professor,https://researcherprofiles.org/profile/52793898,https://profiles.sc-ctsi.org/display/52793898/network/researchareas/timeline," Dermatitis, Contact",2, 2021-2021,1,2021,2021
"Brandon Adler, MD",Dermatology,Assistant Professor,https://researcherprofiles.org/profile/52793898,https://profiles.sc-ctsi.org/display/52793898/network/researchareas/timeline," Dermatitis, Occupational",2, 2021-2022,1,2022,2021
"Brandon Adler, MD",Dermatology,Assistant Professor,https://researcherprofiles.org/profile/52793898,https://profiles.sc-ctsi.org/display/52793898/network/researchareas/timeline, Patch Tests,6, 2021-2022,1,2022,2021
"Brandon Adler, MD",Dermatology,Assistant Professor,https://researcherprofiles.org/profile/52793898,https://profiles.sc-ctsi.org/display/52793898/network/researchareas/timeline, Epoxy Resins,1, 2021-2021,1,2021,2021
"Brandon Adler, MD",Dermatology,Assistant Professor,https://researcherprofiles.org/profile/52793898,https://profiles.sc-ctsi.org/display/52793898/network/researchareas/timeline, Methacrylates,1, 2021-2021,1,2021,2021
"Brandon Adler, MD",Dermatology,Assistant Professor,https://researcherprofiles.org/profile/52793898,https://profiles.sc-ctsi.org/display/52793898/network/researchareas/timeline," Dermatitis, Phototoxic",1, 2022-2022,1,2022,2022
"Brandon Adler, MD",Dermatology,Assistant Professor,https://researcherprofiles.org/profile/52793898,https://profiles.sc-ctsi.org/display/52793898/network/researchareas/timeline, Methoxsalen,1, 2022-2022,1,2022,2022
"Brandon Adler, MD",Dermatology,Assistant Professor,https://researcherprofiles.org/profile/52793898,https://profiles.sc-ctsi.org/display/52793898/network/researchareas/timeline, Perfume,1, 2022-2022,1,2022,2022
"Sujit Kulkarni, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/177697,https://profiles.sc-ctsi.org/display/177697/network/researchareas/timeline,Debridement,1, 2014-2014,1,2014,2014
"Sujit Kulkarni, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/177697,https://profiles.sc-ctsi.org/display/177697/network/researchareas/timeline, Laparoscopy,1, 2014-2014,1,2014,2014
"Sujit Kulkarni, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/177697,https://profiles.sc-ctsi.org/display/177697/network/researchareas/timeline," Pancreatitis, Acute Necrotizing",1, 2014-2014,1,2014,2014
"Sujit Kulkarni, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/177697,https://profiles.sc-ctsi.org/display/177697/network/researchareas/timeline," Cholangiopancreatography, Endoscopic Retrograde",1, 2015-2015,1,2015,2015
"Sujit Kulkarni, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/177697,https://profiles.sc-ctsi.org/display/177697/network/researchareas/timeline, Cholangitis,1, 2015-2015,1,2015,2015
"Sujit Kulkarni, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/177697,https://profiles.sc-ctsi.org/display/177697/network/researchareas/timeline," Anastomosis, Surgical",1, 2015-2015,1,2015,2015
"Sujit Kulkarni, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/177697,https://profiles.sc-ctsi.org/display/177697/network/researchareas/timeline, Anorexia,1, 2015-2015,1,2015,2015
"Sujit Kulkarni, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/177697,https://profiles.sc-ctsi.org/display/177697/network/researchareas/timeline, Duodenostomy,1, 2015-2015,1,2015,2015
"Sujit Kulkarni, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/177697,https://profiles.sc-ctsi.org/display/177697/network/researchareas/timeline, Jejunostomy,1, 2015-2015,1,2015,2015
"Sujit Kulkarni, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/177697,https://profiles.sc-ctsi.org/display/177697/network/researchareas/timeline," Pancreatitis, Chronic",1, 2015-2015,1,2015,2015
"Sujit Kulkarni, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/177697,https://profiles.sc-ctsi.org/display/177697/network/researchareas/timeline, Superior Mesenteric Artery Syndrome,1, 2015-2015,1,2015,2015
"Sujit Kulkarni, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/177697,https://profiles.sc-ctsi.org/display/177697/network/researchareas/timeline, Bloodless Medical and Surgical Procedures,1, 2015-2015,1,2015,2015
"Sujit Kulkarni, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/177697,https://profiles.sc-ctsi.org/display/177697/network/researchareas/timeline, Jehovah's Witnesses,1, 2015-2015,1,2015,2015
"Sujit Kulkarni, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/177697,https://profiles.sc-ctsi.org/display/177697/network/researchareas/timeline," Cholangiopancreatography, Magnetic Resonance",2, 2015-2016,1,2016,2015
"Sujit Kulkarni, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/177697,https://profiles.sc-ctsi.org/display/177697/network/researchareas/timeline, Gallbladder Neoplasms,1, 2016-2016,1,2016,2016
"Sujit Kulkarni, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/177697,https://profiles.sc-ctsi.org/display/177697/network/researchareas/timeline, Mirizzi Syndrome,1, 2016-2016,1,2016,2016
"Sujit Kulkarni, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/177697,https://profiles.sc-ctsi.org/display/177697/network/researchareas/timeline, Pancreas,2, 2014-2019,5,2019,2016
"Sujit Kulkarni, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/177697,https://profiles.sc-ctsi.org/display/177697/network/researchareas/timeline, Cholecystectomy,2, 2016-2020,4,2020,2018
"Sujit Kulkarni, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/177697,https://profiles.sc-ctsi.org/display/177697/network/researchareas/timeline, Cholecystitis,1, 2020-2020,1,2020,2020
"Sujit Kulkarni, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/177697,https://profiles.sc-ctsi.org/display/177697/network/researchareas/timeline, Liver Diseases,1, 2020-2020,1,2020,2020
"Daniel S. Oh, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/197183,https://profiles.sc-ctsi.org/display/197183/network/researchareas/timeline,Esophagus,7, 2005-2014,9,2014,2010
"Daniel S. Oh, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/197183,https://profiles.sc-ctsi.org/display/197183/network/researchareas/timeline, Barrett Esophagus,9, 2005-2020,15,2020,2010
"Daniel S. Oh, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/197183,https://profiles.sc-ctsi.org/display/197183/network/researchareas/timeline, Digestive System Surgical Procedures,4, 2002-2015,13,2015,2010
"Daniel S. Oh, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/197183,https://profiles.sc-ctsi.org/display/197183/network/researchareas/timeline, Adenocarcinoma,16, 2003-2018,15,2018,2011
"Daniel S. Oh, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/197183,https://profiles.sc-ctsi.org/display/197183/network/researchareas/timeline, Esophageal Neoplasms,17, 2005-2018,13,2018,2011
"Daniel S. Oh, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/197183,https://profiles.sc-ctsi.org/display/197183/network/researchareas/timeline, Gastroesophageal Reflux,11, 2006-2020,14,2020,2012
"Daniel S. Oh, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/197183,https://profiles.sc-ctsi.org/display/197183/network/researchareas/timeline, Fundoplication,7, 2006-2020,14,2020,2012
"Daniel S. Oh, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/197183,https://profiles.sc-ctsi.org/display/197183/network/researchareas/timeline, Bone and Bones,5, 2009-2015,6,2015,2012
"Daniel S. Oh, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/197183,https://profiles.sc-ctsi.org/display/197183/network/researchareas/timeline, Bone Regeneration,8, 2009-2019,10,2019,2012
"Daniel S. Oh, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/197183,https://profiles.sc-ctsi.org/display/197183/network/researchareas/timeline, Durapatite,6, 2011-2019,8,2019,2013
"Daniel S. Oh, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/197183,https://profiles.sc-ctsi.org/display/197183/network/researchareas/timeline, Bone Substitutes,3, 2009-2019,10,2019,2013
"Daniel S. Oh, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/197183,https://profiles.sc-ctsi.org/display/197183/network/researchareas/timeline, Esophagectomy,9, 2006-2018,12,2018,2013
"Daniel S. Oh, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/197183,https://profiles.sc-ctsi.org/display/197183/network/researchareas/timeline, Tissue Scaffolds,7, 2011-2019,8,2019,2013
"Daniel S. Oh, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/197183,https://profiles.sc-ctsi.org/display/197183/network/researchareas/timeline, Laparoscopy,6, 2010-2022,12,2022,2017
"Daniel S. Oh, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/197183,https://profiles.sc-ctsi.org/display/197183/network/researchareas/timeline, Pneumonectomy,5, 2013-2020,7,2020,2018
"Daniel S. Oh, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/197183,https://profiles.sc-ctsi.org/display/197183/network/researchareas/timeline, Root Caries,1, 2018-2018,1,2018,2018
"Daniel S. Oh, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/197183,https://profiles.sc-ctsi.org/display/197183/network/researchareas/timeline, Robotic Surgical Procedures,8, 2015-2022,7,2022,2019
"Daniel S. Oh, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/197183,https://profiles.sc-ctsi.org/display/197183/network/researchareas/timeline," Thoracic Surgery, Video-Assisted",4, 2017-2022,5,2022,2019
"Daniel S. Oh, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/197183,https://profiles.sc-ctsi.org/display/197183/network/researchareas/timeline, Thoracic Surgical Procedures,1, 2019-2019,1,2019,2019
"Daniel S. Oh, MD",Surgery,Associate Professor,https://researcherprofiles.org/profile/197183,https://profiles.sc-ctsi.org/display/197183/network/researchareas/timeline, Ketamine,1, 2021-2021,1,2021,2021
"Miroslaw J Smogorzewski, MD, PhD",Medicine,Associate Professor,https://researcherprofiles.org/profile/192581,https://profiles.sc-ctsi.org/display/192581/network/researchareas/timeline,Synaptosomes,18, 1989-2008,19,2008,1993
"Miroslaw J Smogorzewski, MD, PhD",Medicine,Associate Professor,https://researcherprofiles.org/profile/192581,https://profiles.sc-ctsi.org/display/192581/network/researchareas/timeline, Verapamil,26, 1988-2001,13,2001,1993
"Miroslaw J Smogorzewski, MD, PhD",Medicine,Associate Professor,https://researcherprofiles.org/profile/192581,https://profiles.sc-ctsi.org/display/192581/network/researchareas/timeline, Phosphates,9, 1991-1997,6,1997,1993
"Miroslaw J Smogorzewski, MD, PhD",Medicine,Associate Professor,https://researcherprofiles.org/profile/192581,https://profiles.sc-ctsi.org/display/192581/network/researchareas/timeline, Cytosol,25, 1991-2001,10,2001,1994
"Miroslaw J Smogorzewski, MD, PhD",Medicine,Associate Professor,https://researcherprofiles.org/profile/192581,https://profiles.sc-ctsi.org/display/192581/network/researchareas/timeline, Parathyroid Hormone,46, 1988-2005,17,2005,1994
"Miroslaw J Smogorzewski, MD, PhD",Medicine,Associate Professor,https://researcherprofiles.org/profile/192581,https://profiles.sc-ctsi.org/display/192581/network/researchareas/timeline," Hyperparathyroidism, Secondary",10, 1988-2008,20,2008,1995
"Miroslaw J Smogorzewski, MD, PhD",Medicine,Associate Professor,https://researcherprofiles.org/profile/192581,https://profiles.sc-ctsi.org/display/192581/network/researchareas/timeline, Calcium,59, 1990-2008,18,2008,1995
"Miroslaw J Smogorzewski, MD, PhD",Medicine,Associate Professor,https://researcherprofiles.org/profile/192581,https://profiles.sc-ctsi.org/display/192581/network/researchareas/timeline," Receptors, Parathyroid Hormone",8, 1993-1998,5,1998,1995
"Miroslaw J Smogorzewski, MD, PhD",Medicine,Associate Professor,https://researcherprofiles.org/profile/192581,https://profiles.sc-ctsi.org/display/192581/network/researchareas/timeline, Uremia,12, 1976-2017,41,2017,1998
"Miroslaw J Smogorzewski, MD, PhD",Medicine,Associate Professor,https://researcherprofiles.org/profile/192581,https://profiles.sc-ctsi.org/display/192581/network/researchareas/timeline," Kidney Failure, Chronic",56, 1976-2019,43,2019,1998
"Miroslaw J Smogorzewski, MD, PhD",Medicine,Associate Professor,https://researcherprofiles.org/profile/192581,https://profiles.sc-ctsi.org/display/192581/network/researchareas/timeline, Acetylcholine,4, 1993-2017,24,2017,2003
"Miroslaw J Smogorzewski, MD, PhD",Medicine,Associate Professor,https://researcherprofiles.org/profile/192581,https://profiles.sc-ctsi.org/display/192581/network/researchareas/timeline, Nephrology,6, 1997-2016,19,2016,2007
"Miroslaw J Smogorzewski, MD, PhD",Medicine,Associate Professor,https://researcherprofiles.org/profile/192581,https://profiles.sc-ctsi.org/display/192581/network/researchareas/timeline, Immunoglobulin G,2, 1996-2021,25,2021,2009
"Miroslaw J Smogorzewski, MD, PhD",Medicine,Associate Professor,https://researcherprofiles.org/profile/192581,https://profiles.sc-ctsi.org/display/192581/network/researchareas/timeline," History, 20th Century",6, 2002-2018,16,2018,2011
"Miroslaw J Smogorzewski, MD, PhD",Medicine,Associate Professor,https://researcherprofiles.org/profile/192581,https://profiles.sc-ctsi.org/display/192581/network/researchareas/timeline, Skin Diseases,3, 2010-2019,9,2019,2016
"Miroslaw J Smogorzewski, MD, PhD",Medicine,Associate Professor,https://researcherprofiles.org/profile/192581,https://profiles.sc-ctsi.org/display/192581/network/researchareas/timeline, Nephritis,1, 2016-2016,1,2016,2016
"Miroslaw J Smogorzewski, MD, PhD",Medicine,Associate Professor,https://researcherprofiles.org/profile/192581,https://profiles.sc-ctsi.org/display/192581/network/researchareas/timeline," Renal Insufficiency, Chronic",9, 2010-2019,9,2019,2016
"Miroslaw J Smogorzewski, MD, PhD",Medicine,Associate Professor,https://researcherprofiles.org/profile/192581,https://profiles.sc-ctsi.org/display/192581/network/researchareas/timeline, Endocrinology,1, 2018-2018,1,2018,2018
"Miroslaw J Smogorzewski, MD, PhD",Medicine,Associate Professor,https://researcherprofiles.org/profile/192581,https://profiles.sc-ctsi.org/display/192581/network/researchareas/timeline, Epstein-Barr Virus Infections,1, 2021-2021,1,2021,2021
"Andrew P. McMahon, PhD",Stem Cell Biology & Regenerative Medicine,Professor,https://researcherprofiles.org/profile/191654,https://profiles.sc-ctsi.org/display/191654/network/researchareas/timeline,Embryonic Induction,32, 1989-2008,19,2008,1997
"Andrew P. McMahon, PhD",Stem Cell Biology & Regenerative Medicine,Professor,https://researcherprofiles.org/profile/191654,https://profiles.sc-ctsi.org/display/191654/network/researchareas/timeline, Zebrafish Proteins,46, 1989-2015,26,2015,1998
"Andrew P. McMahon, PhD",Stem Cell Biology & Regenerative Medicine,Professor,https://researcherprofiles.org/profile/191654,https://profiles.sc-ctsi.org/display/191654/network/researchareas/timeline, Proto-Oncogene Proteins,69, 1988-2012,24,2012,1998
"Andrew P. McMahon, PhD",Stem Cell Biology & Regenerative Medicine,Professor,https://researcherprofiles.org/profile/191654,https://profiles.sc-ctsi.org/display/191654/network/researchareas/timeline, Proteins,71, 1992-2017,25,2017,1998
"Andrew P. McMahon, PhD",Stem Cell Biology & Regenerative Medicine,Professor,https://researcherprofiles.org/profile/191654,https://profiles.sc-ctsi.org/display/191654/network/researchareas/timeline, Wnt Proteins,88, 1989-2019,30,2019,2001
"Andrew P. McMahon, PhD",Stem Cell Biology & Regenerative Medicine,Professor,https://researcherprofiles.org/profile/191654,https://profiles.sc-ctsi.org/display/191654/network/researchareas/timeline, Trans-Activators,89, 1993-2018,25,2018,2001
"Andrew P. McMahon, PhD",Stem Cell Biology & Regenerative Medicine,Professor,https://researcherprofiles.org/profile/191654,https://profiles.sc-ctsi.org/display/191654/network/researchareas/timeline, Mesoderm,51, 1988-2017,29,2017,2002
"Andrew P. McMahon, PhD",Stem Cell Biology & Regenerative Medicine,Professor,https://researcherprofiles.org/profile/191654,https://profiles.sc-ctsi.org/display/191654/network/researchareas/timeline, Hedgehog Proteins,126, 1993-2017,24,2017,2004
"Andrew P. McMahon, PhD",Stem Cell Biology & Regenerative Medicine,Professor,https://researcherprofiles.org/profile/191654,https://profiles.sc-ctsi.org/display/191654/network/researchareas/timeline, Signal Transduction,143, 1989-2019,30,2019,2004
"Andrew P. McMahon, PhD",Stem Cell Biology & Regenerative Medicine,Professor,https://researcherprofiles.org/profile/191654,https://profiles.sc-ctsi.org/display/191654/network/researchareas/timeline, Mice,297, 1981-2022,41,2022,2004
"Andrew P. McMahon, PhD",Stem Cell Biology & Regenerative Medicine,Professor,https://researcherprofiles.org/profile/191654,https://profiles.sc-ctsi.org/display/191654/network/researchareas/timeline," Gene Expression Regulation, Developmental",111, 1994-2021,27,2021,2004
"Andrew P. McMahon, PhD",Stem Cell Biology & Regenerative Medicine,Professor,https://researcherprofiles.org/profile/191654,https://profiles.sc-ctsi.org/display/191654/network/researchareas/timeline, Body Patterning,49, 1996-2017,21,2017,2005
"Andrew P. McMahon, PhD",Stem Cell Biology & Regenerative Medicine,Professor,https://researcherprofiles.org/profile/191654,https://profiles.sc-ctsi.org/display/191654/network/researchareas/timeline, Transcription Factors,82, 1990-2022,32,2022,2005
